1;Quizás deberia inspecionar esta zona
2;Es posible que esto me resulte de utilidad
3;Deberia encontrar una manera de abrir esto…
4;Que extraño, esto parece significar algo
5;Esto parece interesante
6;Realmente Oliver no estaba bien
7;Hmm parece un patrón
9;Puede que Oliver esté arriba
10;La radio emite un ruido extraño. Parece el código que Oliver inventó cuando combatiamos juntos
11;Voy a probar con esta llave
12;Estos cuadros…
13;Esta nota esta rota, además parece que ha desaparecido un trozo
15;Creo que encenderé las luces
